employee_id,month,working_days,present_days,wfh_days,leave_days,attendance_rate
E001,2025-01,22,20,1,2,90.91
E001,2025-02,20,20,0,0,100.00
E001,2025-03,21,21,2,0,100.00
E001,2025-04,22,22,1,0,100.00
E001,2025-05,22,22,0,0,100.00
E001,2025-06,20,19,1,1,95.00
E001,2025-07,23,23,0,0,100.00
E001,2025-08,21,21,2,0,100.00
E001,2025-09,22,22,1,0,100.00
E001,2025-10,23,23,0,0,100.00
E001,2025-11,20,20,1,0,100.00
E001,2025-12,23,23,0,0,100.00
E002,2025-01,22,21,0,1,95.45
E002,2025-02,20,20,2,0,100.00
E002,2025-03,21,21,1,0,100.00
E002,2025-04,22,22,0,0,100.00
E002,2025-05,22,22,1,0,100.00
E002,2025-06,20,20,0,0,100.00
E002,2025-07,23,23,2,0,100.00
E002,2025-08,21,21,1,0,100.00
E002,2025-09,22,22,0,0,100.00
E002,2025-10,23,20,1,3,86.96
E002,2025-11,20,20,0,0,100.00
E002,2025-12,23,23,1,0,100.00
E003,2025-01,22,19,2,3,86.36
E003,2025-02,20,20,1,0,100.00
E003,2025-03,21,21,0,0,100.00
E003,2025-04,22,22,1,0,100.00
E003,2025-05,22,22,0,0,100.00
E003,2025-06,20,20,2,0,100.00
E003,2025-07,23,20,1,3,86.96
E003,2025-08,21,21,0,0,100.00
E003,2025-09,22,22,1,0,100.00
E003,2025-10,23,23,0,0,100.00
E003,2025-11,20,20,1,0,100.00
E003,2025-12,23,23,0,0,100.00
E004,2025-01,22,20,1,2,90.91
E004,2025-02,20,20,0,0,100.00
E004,2025-03,21,21,1,0,100.00
E004,2025-04,22,22,0,0,100.00
E004,2025-05,22,22,2,0,100.00
E004,2025-06,20,20,1,0,100.00
E004,2025-07,23,23,0,0,100.00
E004,2025-08,21,21,1,0,100.00
E004,2025-09,22,22,0,0,100.00
E004,2025-10,23,20,1,3,86.96
E004,2025-11,20,20,0,0,100.00
E004,2025-12,23,23,2,0,100.00
E005,2025-01,22,22,0,0,100.00
E005,2025-02,20,18,1,2,90.00
E005,2025-03,21,21,1,0,100.00
E005,2025-04,22,22,2,0,100.00
E005,2025-05,22,22,1,0,100.00
