leave_id,employee_id,leave_type,start_date,end_date,leave_days,status
L001,E001,Paid Leave,2025-01-06,2025-01-07,2,Approved
L002,E002,Sick Leave,2025-01-13,2025-01-13,1,Approved
L003,E003,Paid Leave,2025-01-20,2025-01-22,3,Approved
L004,E004,Sick Leave,2025-01-27,2025-01-28,2,Approved
L005,E005,Paid Leave,2025-02-03,2025-02-04,2,Approved
L006,E006,Sick Leave,2025-02-10,2025-02-11,2,Approved
L007,E007,Paid Leave,2025-02-17,2025-02-19,3,Approved
L008,E008,Sick Leave,2025-02-24,2025-02-24,1,Approved
L009,E009,Paid Leave,2025-03-03,2025-03-05,3,Approved
L010,E010,Paid Leave,2025-03-10,2025-03-11,2,Approved
L011,E011,Sick Leave,2025-03-17,2025-03-18,2,Approved
L012,E012,Paid Leave,2025-03-24,2025-03-26,3,Approved
L013,E013,Sick Leave,2025-04-07,2025-04-08,2,Approved
L014,E014,Paid Leave,2025-04-14,2025-04-16,3,Approved
L015,E015,Sick Leave,2025-04-21,2025-04-21,1,Approved
L016,E016,Paid Leave,2025-05-05,2025-05-07,3,Approved
L017,E017,Sick Leave,2025-05-12,2025-05-13,2,Approved
L018,E018,Paid Leave,2025-05-19,2025-05-20,2,Approved
L019,E019,Paid Leave,2025-06-02,2025-06-04,3,Approved
L020,E020,Sick Leave,2025-06-09,2025-06-10,2,Approved
L021,E001,Sick Leave,2025-06-16,2025-06-16,1,Approved
L022,E003,Paid Leave,2025-07-07,2025-07-09,3,Approved
L023,E005,Sick Leave,2025-07-14,2025-07-15,2,Approved
L024,E007,Paid Leave,2025-07-21,2025-07-22,2,Approved
L025,E009,Paid Leave,2025-08-04,2025-08-06,3,Pending
L026,E011,Sick Leave,2025-08-11,2025-08-12,2,Approved
L027,E013,Paid Leave,2025-08-18,2025-08-20,3,Approved
L028,E015,Sick Leave,2025-09-01,2025-09-02,2,Approved
L029,E017,Paid Leave,2025-09-08,2025-09-10,3,Approved
L030,E019,Sick Leave,2025-09-15,2025-09-16,2,Approved
L031,E002,Paid Leave,2025-10-06,2025-10-08,3,Approved
L032,E004,Paid Leave,2025-10-13,2025-10-15,3,Approved
L033,E006,Sick Leave,2025-11-03,2025-11-04,2,Approved
L034,E008,Paid Leave,2025-11-10,2025-11-12,3,Approved
L035,E010,Sick Leave,2025-12-01,2025-12-02,2,Approved
